partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
1,1,guarani,0,0,nan,0,nan,0,0,0,0,0
1,1,vasco,0,0,nan,0,nan,0,0,0,0,0
2,1,athletico-pr,0,0,nan,0,nan,0,0,0,0,0
2,1,gremio,0,0,nan,0,nan,0,0,0,0,0
3,1,flamengo,0,0,nan,0,nan,0,0,0,0,0
3,1,coritiba,0,0,nan,0,nan,0,0,0,0,0
4,1,goias,0,0,nan,0,nan,0,0,0,0,0
4,1,paysandu,0,0,nan,0,nan,0,0,0,0,0
5,1,internacional,0,0,nan,0,nan,0,0,0,0,0
5,1,ponte preta,0,0,nan,0,nan,0,0,0,0,0
6,1,criciuma,0,0,nan,0,nan,0,0,0,0,0
6,1,fluminense,0,0,nan,0,nan,0,0,0,0,0
7,1,juventude,0,0,nan,0,nan,0,0,0,0,0
7,1,sao paulo,0,0,nan,0,nan,0,0,0,0,0
8,1,fortaleza,0,0,nan,0,nan,0,0,0,0,0
8,1,bahia,0,0,nan,0,nan,0,0,0,0,0
9,1,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
9,1,sao caetano,0,0,nan,0,nan,0,0,0,0,0
10,1,vitoria,0,0,nan,0,nan,0,0,0,0,0
10,1,figueirense,0,0,nan,0,nan,0,0,0,0,0
11,1,santos,0,0,nan,0,nan,0,0,0,0,0
11,1,parana,0,0,nan,0,nan,0,0,0,0,0
12,1,corinthians,0,0,nan,0,nan,0,0,0,0,0
12,1,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
13,2,fluminense,0,0,nan,0,nan,0,0,0,0,0
13,2,fortaleza,0,0,nan,0,nan,0,0,0,0,0
14,2,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
14,2,santos,0,0,nan,0,nan,0,0,0,0,0
15,2,coritiba,0,0,nan,0,nan,0,0,0,0,0
15,2,internacional,0,0,nan,0,nan,0,0,0,0,0
16,2,gremio,0,0,nan,0,nan,0,0,0,0,0
16,2,guarani,0,0,nan,0,nan,0,0,0,0,0
17,2,bahia,0,0,nan,0,nan,0,0,0,0,0
17,2,flamengo,0,0,nan,0,nan,0,0,0,0,0
18,2,figueirense,0,0,nan,0,nan,0,0,0,0,0
18,2,corinthians,0,0,nan,0,nan,0,0,0,0,0
19,2,paysandu,0,0,nan,0,nan,0,0,0,0,0
19,2,vitoria,0,0,nan,0,nan,0,0,0,0,0
20,2,ponte preta,0,0,nan,0,nan,0,0,0,0,0
20,2,juventude,0,0,nan,0,nan,0,0,0,0,0
21,2,parana,0,0,nan,0,nan,0,0,0,0,0
21,2,athletico-pr,0,0,nan,0,nan,0,0,0,0,0
22,2,sao caetano,0,0,nan,0,nan,0,0,0,0,0
22,2,criciuma,0,0,nan,0,nan,0,0,0,0,0
23,2,sao paulo,0,0,nan,0,nan,0,0,0,0,0
23,2,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
24,2,vasco,0,0,nan,0,nan,0,0,0,0,0
24,2,goias,0,0,nan,0,nan,0,0,0,0,0
25,4,paysandu,0,0,nan,0,nan,0,0,0,0,0
25,4,santos,0,0,nan,0,nan,0,0,0,0,0
37,3,internacional,0,0,nan,0,nan,0,0,0,0,0
37,3,bahia,0,0,nan,0,nan,0,0,0,0,0
38,3,santos,0,0,nan,0,nan,0,0,0,0,0
38,3,figueirense,0,0,nan,0,nan,0,0,0,0,0
39,3,athletico-pr,0,0,nan,0,nan,0,0,0,0,0
39,3,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
40,3,corinthians,0,0,nan,0,nan,0,0,0,0,0
40,3,paysandu,0,0,nan,0,nan,0,0,0,0,0
41,3,vitoria,0,0,nan,0,nan,0,0,0,0,0
41,3,vasco,0,0,nan,0,nan,0,0,0,0,0
42,3,criciuma,0,0,nan,0,nan,0,0,0,0,0
42,3,sao paulo,0,0,nan,0,nan,0,0,0,0,0
43,3,fortaleza,0,0,nan,0,nan,0,0,0,0,0
43,3,sao caetano,0,0,nan,0,nan,0,0,0,0,0
44,3,juventude,0,0,nan,0,nan,0,0,0,0,0
44,3,coritiba,0,0,nan,0,nan,0,0,0,0,0
45,3,guarani,0,0,nan,0,nan,0,0,0,0,0
45,3,parana,0,0,nan,0,nan,0,0,0,0,0
46,3,goias,0,0,nan,0,nan,0,0,0,0,0
46,3,gremio,0,0,nan,0,nan,0,0,0,0,0
47,3,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
47,3,ponte preta,0,0,nan,0,nan,0,0,0,0,0
48,3,flamengo,0,0,nan,0,nan,0,0,0,0,0
48,3,fluminense,0,0,nan,0,nan,0,0,0,0,0
26,4,bahia,0,0,nan,0,nan,0,0,0,0,0
26,4,juventude,0,0,nan,0,nan,0,0,0,0,0
27,4,gremio,0,0,nan,0,nan,0,0,0,0,0
27,4,vitoria,0,0,nan,0,nan,0,0,0,0,0
28,4,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
28,4,guarani,0,0,nan,0,nan,0,0,0,0,0
29,4,figueirense,0,0,nan,0,nan,0,0,0,0,0
29,4,athletico-pr,0,0,nan,0,nan,0,0,0,0,0
30,4,ponte preta,0,0,nan,0,nan,0,0,0,0,0
30,4,criciuma,0,0,nan,0,nan,0,0,0,0,0
31,4,sao caetano,0,0,nan,0,nan,0,0,0,0,0
31,4,flamengo,0,0,nan,0,nan,0,0,0,0,0
32,4,vasco,0,0,nan,0,nan,0,0,0,0,0
32,4,corinthians,0,0,nan,0,nan,0,0,0,0,0
33,4,coritiba,0,0,nan,0,nan,0,0,0,0,0
33,4,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
34,4,fluminense,0,0,nan,0,nan,0,0,0,0,0
34,4,internacional,0,0,nan,0,nan,0,0,0,0,0
35,4,sao paulo,0,0,nan,0,nan,0,0,0,0,0
35,4,fortaleza,0,0,nan,0,nan,0,0,0,0,0
36,4,parana,0,0,nan,0,nan,0,0,0,0,0
36,4,goias,0,0,nan,0,nan,0,0,0,0,0
144,12,flamengo,0,0,nan,0,nan,0,0,0,0,0
144,12,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
49,5,bahia,0,0,nan,0,nan,0,0,0,0,0
49,5,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
50,5,sao caetano,0,0,nan,0,nan,0,0,0,0,0
50,5,gremio,0,0,nan,0,nan,0,0,0,0,0
51,5,flamengo,0,0,nan,0,nan,0,0,0,0,0
51,5,santos,0,0,nan,0,nan,0,0,0,0,0
52,5,sao paulo,0,0,nan,0,nan,0,0,0,0,0
52,5,vasco,0,0,nan,0,nan,0,0,0,0,0
53,5,internacional,0,0,nan,0,nan,0,0,0,0,0
53,5,corinthians,0,0,nan,0,nan,0,0,0,0,0
54,5,criciuma,0,0,nan,0,nan,0,0,0,0,0
54,5,guarani,0,0,nan,0,nan,0,0,0,0,0
55,5,juventude,0,0,nan,0,nan,0,0,0,0,0
55,5,vitoria,0,0,nan,0,nan,0,0,0,0,0
56,5,fortaleza,0,0,nan,0,nan,0,0,0,0,0
56,5,athletico-pr,0,0,nan,0,nan,0,0,0,0,0
57,5,ponte preta,0,0,nan,0,nan,0,0,0,0,0
57,5,paysandu,0,0,nan,0,nan,0,0,0,0,0
58,5,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
58,5,goias,0,0,nan,0,nan,0,0,0,0,0
59,5,fluminense,0,0,nan,0,nan,0,0,0,0,0
59,5,parana,0,0,nan,0,nan,0,0,0,0,0
60,5,coritiba,0,0,nan,0,nan,0,0,0,0,0
60,5,figueirense,0,0,nan,0,nan,0,0,0,0,0
61,6,atletico-mg,0,0,nan,0,nan,0,0,0,0,0
61,6,coritiba,0,0,nan,0,nan,0,0,0,0,0
62,6,parana,0,0,nan,0,nan,0,0,0,0,0
62,6,bahia,0,0,nan,0,nan,0,0,0,0,0
63,6,vitoria,0,0,nan,0,nan,0,0,0,0,0
63,6,internacional,0,0,nan,0,nan,0,0,0,0,0
64,6,guarani,0,0,nan,0,nan,0,0,0,0,0
64,6,cruzeiro,0,0,nan,0,nan,0,0,0,0,0
65,6,corinthians,0,0,nan,0,nan,0,0,0,0,0
65,6,flamengo,0,0,nan,0,nan,0,0,0,0,0
66,6,goias,0,0,nan,0,nan,0,0,0,0,0
66,6,juventude,0,0,nan,0,nan,0,0,0,0,0
67,6,figueirense,0,0,nan,0,nan,0,0,0,0,0
67,6,ponte preta,0,0,nan,0,nan,0,0,0,0,0
68,6,santos,0,0,nan,0,nan,0,0,0,0,0
68,6,fortaleza,0,0,nan,0,nan,0,0,0,0,0
